provincia,sexo,año,total
malaga,hombres,2014,797639
burgos,hombres,2014,183882
vizcaya,mujeres,2014,595133
malaga,mujeres,2014,824329
vizcaya,hombres,2014,556772
ciudad real,hombres,2014,257918
zaragoza,mujeres,2014,488436
murcia,hombres,2014,735889
barcelona,mujeres,2014,2824744
barcelona,hombres,2014,2699040
sevilla,mujeres,2014,990472
murcia,mujeres,2014,730929
islas baleares,mujeres,2014,553641
cuenca,hombres,2014,43354
islas baleares,hombres,2014,549801
badajoz,mujeres,2014,348275
salamanca,hombres,2014,167061
soria,mujeres,2014,45498
valencia,hombres,2014,1253758
granada,mujeres,2014,466048
tarragona,mujeres,2014,399328
cuenca,mujeres,2014,102863
cordoba,hombres,2014,392644
cuenca,hombres,2014,104586
huelva,hombres,2014,257542
jaen,mujeres,2014,332450
teruel,hombres,2014,71449
pontevedra,hombres,2014,460167
cordoba,mujeres,2014,406758
toledo,hombres,2014,352949
toledo,mujeres,2014,346187
rioja,hombres,2014,158090
huesca,mujeres,2014,111069
teruel,mujeres,2014,68916
coruña,hombres,2014,544075
guadalajara,mujeres,2014,125229
jaen,hombres,2014,326583
almeria,hombres,2014,356663
granada,hombres,2014,453407
coruña,mujeres,2014,588660
gerona,mujeres,2014,376981
valencia,mujeres,2014,1295140
pontevedra,mujeres,2014,490752
alicante,mujeres,2014,939919
huesca,hombres,2014,113840
guipuzcoa,mujeres,2014,365134
ciudad real,mujeres,2014,261695
gerona,hombres,2014,379175
valladolid,hombres,2014,258865
santa cruz de tenerife,mujeres,2014,508581
guipuzcoa,hombres,2014,350014
leon,hombres,2014,236537
huelva,mujeres,2014,261687
malaga,hombres,2015,800767
salamanca,mujeres,2015,174016
soria,hombres,2015,46077
valencia,hombres,2015,1250165
melilla,hombres,2015,43593
burgos,mujeres,2015,181860
islas baleares,mujeres,2015,554801
valencia,mujeres,2015,1293150
santa cruz de tenerife,hombres,2015,494354
murcia,hombres,2015,735434
cuenca,hombres,2015,42757
almeria,mujeres,2015,345153
zaragoza,hombres,2015,469456
albacete,mujeres,2015,197566
madrid,mujeres,2015,3349974
gerona,mujeres,2015,376118
islas baleares,hombres,2015,549678
badajoz,mujeres,2015,346354
las palmas,hombres,2015,548849
navarra,hombres,2015,317885
caceres,hombres,2015,201702
teruel,mujeres,2015,68327
huelva,mujeres,2015,262318
murcia,mujeres,2015,731854
huesca,mujeres,2015,110283
barcelona,mujeres,2015,2827562
navarra,mujeres,2015,322591
cuenca,mujeres,2015,101258
badajoz,hombres,2015,340376
santa cruz de tenerife,mujeres,2015,507546
vizcaya,hombres,2015,554832
barcelona,hombres,2015,2696360
almeria,hombres,2015,356058
zaragoza,mujeres,2015,486550
toledo,mujeres,2015,343818
coruña,mujeres,2015,585904
guipuzcoa,hombres,2015,350799
gerona,hombres,2015,376936
malaga,mujeres,2015,828206
huelva,hombres,2015,257699
sevilla,mujeres,2015,990893
avila,mujeres,2015,82045
sevilla,hombres,2015,950587
vizcaya,mujeres,2015,593943
cuenca,mujeres,2015,41506
teruel,hombres,2015,70605
burgos,hombres,2015,182142
orense,hombres,2015,153043
huesca,hombres,2015,112626
cuenca,hombres,2015,102583
salamanca,hombres,2015,165379
albacete,hombres,2015,197014
asturias,hombres,2015,502175
pontevedra,mujeres,2015,489260
palencia,hombres,2015,82232
zamora,hombres,2015,90888
rioja,mujeres,2015,160320
granada,mujeres,2015,465390
cantabria,mujeres,2015,300391
valladolid,hombres,2015,256999
cordoba,hombres,2015,390559
lerida,mujeres,2015,215310
melilla,mujeres,2015,41991
tarragona,hombres,2015,397730
tarragona,mujeres,2015,397371
segovia,hombres,2015,79355
lugo,hombres,2015,164605
toledo,hombres,2015,349553
pontevedra,hombres,2015,458114
leon,hombres,2015,233664
lerida,hombres,2015,220719
segovia,mujeres,2015,78215
castellon,mujeres,2015,292607
ciudad real,mujeres,2015,259142
valladolid,mujeres,2015,269289
palencia,mujeres,2015,83803
ciudad real,hombres,2015,254571
alava,mujeres,2015,163354
leon,mujeres,2015,245731
alava,hombres,2015,160294
alicante,mujeres,2015,934127
castellon,hombres,2015,289720
jaen,mujeres,2015,330309
guipuzcoa,mujeres,2015,366035
jaen,hombres,2015,323861
guadalajara,mujeres,2015,124734
lugo,mujeres,2015,174781
avila,hombres,2015,82880
granada,hombres,2015,451907
alicante,hombres,2015,920920
coruña,hombres,2015,541292
guadalajara,hombres,2015,128952
las palmas,mujeres,2015,549557
madrid,hombres,2015,3087022
cadiz,mujeres,2015,627190
cordoba,mujeres,2015,405052
orense,mujeres,2015,165348
asturias,mujeres,2015,549054
caceres,mujeres,2015,204565
cadiz,hombres,2015,613094
soria,mujeres,2015,44929
cantabria,hombres,2015,284788
rioja,hombres,2015,156733
zamora,mujeres,2015,92548
alava,hombres,2016,160240
avila,hombres,2016,81630
santa cruz de tenerife,hombres,2016,494910
asturias,mujeres,2016,544756
cuenca,mujeres,2016,41673
guadalajara,hombres,2016,128265
badajoz,mujeres,2016,345159
alava,mujeres,2016,163886
teruel,mujeres,2016,67473
granada,hombres,2016,451148
palencia,mujeres,2016,83035
pontevedra,mujeres,2016,487795
navarra,mujeres,2016,322807
gerona,hombres,2016,376943
huelva,hombres,2016,257571
avila,mujeres,2016,80884
palencia,hombres,2016,81609
orense,hombres,2016,151226
granada,mujeres,2016,464244
toledo,mujeres,2016,342000
las palmas,hombres,2016,547928
asturias,hombres,2016,497852
badajoz,hombres,2016,338954
salamanca,mujeres,2016,172372
melilla,mujeres,2016,42258
guadalajara,mujeres,2016,124617
melilla,hombres,2016,43768
alicante,hombres,2016,911173
gerona,mujeres,2016,376633
sevilla,hombres,2016,949432
toledo,hombres,2016,346672
segovia,mujeres,2016,77381
orense,mujeres,2016,163627
pontevedra,hombres,2016,456551
navarra,hombres,2016,317840
lugo,hombres,2016,163154
jaen,mujeres,2016,327388
cantabria,hombres,2016,282988
cadiz,mujeres,2016,627031
zamora,mujeres,2016,91085
lugo,mujeres,2016,173373
coruña,hombres,2016,538878
cadiz,hombres,2016,612858
soria,mujeres,2016,44445
jaen,hombres,2016,320862
las palmas,mujeres,2016,549872
madrid,hombres,2016,3098631
coruña,mujeres,2016,583921
caceres,mujeres,2016,203380
huelva,mujeres,2016,262025
cordoba,mujeres,2016,403140
teruel,hombres,2016,69504
valladolid,hombres,2016,255591
rioja,mujeres,2016,159825
leon,mujeres,2016,242877
ciudad real,mujeres,2016,256041
ciudad real,hombres,2016,250847
valladolid,mujeres,2016,268088
alicante,mujeres,2016,925286
castellon,mujeres,2016,291443
segovia,hombres,2016,78271
lerida,hombres,2016,219917
leon,hombres,2016,230727
castellon,hombres,2016,287802
tarragona,mujeres,2016,396562
tarragona,hombres,2016,395737
cordoba,hombres,2016,388470
lerida,mujeres,2016,214124
cantabria,mujeres,2016,299218
zamora,hombres,2016,89321
caceres,hombres,2016,200285
almeria,mujeres,2016,346074
salamanca,hombres,2016,163613
cuenca,hombres,2016,42846
sevilla,mujeres,2016,990343
guipuzcoa,hombres,2016,350998
barcelona,hombres,2016,2704771
almeria,hombres,2016,358223
huesca,hombres,2016,111597
barcelona,mujeres,2016,2837909
murcia,hombres,2016,733555
cuenca,mujeres,2016,99974
vizcaya,hombres,2016,554342
zaragoza,hombres,2016,466105
zaragoza,mujeres,2016,484402
valencia,hombres,2016,1249773
malaga,mujeres,2016,828668
murcia,mujeres,2016,731292
guipuzcoa,mujeres,2016,366834
vizcaya,mujeres,2016,593234
madrid,mujeres,2016,3368365
burgos,mujeres,2016,180577
valencia,mujeres,2016,1294491
rioja,hombres,2016,155969
soria,hombres,2016,45595
islas baleares,hombres,2016,550682
malaga,hombres,2016,800630
santa cruz de tenerife,mujeres,2016,509214
burgos,hombres,2016,180418
albacete,hombres,2016,195841
cuenca,hombres,2016,101097
albacete,mujeres,2016,196277
huesca,mujeres,2016,109482
islas baleares,mujeres,2016,556538
pontevedra,mujeres,2017,487114
segovia,hombres,2017,77443
las palmas,mujeres,2017,551764
rioja,mujeres,2017,159873
pontevedra,hombres,2017,455617
las palmas,hombres,2017,548716
salamanca,hombres,2017,162273
rioja,hombres,2017,155508
santa cruz de tenerife,mujeres,2017,511244
salamanca,mujeres,2017,171330
granada,hombres,2017,449821
guipuzcoa,hombres,2017,351262
cordoba,hombres,2017,386736
valladolid,hombres,2017,254146
cordoba,mujeres,2017,401483
coruña,hombres,2017,537311
coruña,mujeres,2017,582983
valencia,mujeres,2017,1294682
badajoz,mujeres,2017,343318
cuenca,hombres,2017,99821
cuenca,mujeres,2017,98897
ciudad real,mujeres,2017,254250
segovia,mujeres,2017,76741
valencia,hombres,2017,1246025
guipuzcoa,mujeres,2017,368020
gerona,hombres,2017,377615
gerona,mujeres,2017,378101
toledo,mujeres,2017,341313
cuenca,mujeres,2017,41925
santa cruz de tenerife,hombres,2017,496397
granada,mujeres,2017,463117
toledo,hombres,2017,345528
almeria,hombres,2017,359676
vizcaya,hombres,2017,554289
ciudad real,hombres,2017,248328
valladolid,mujeres,2017,266984
zaragoza,mujeres,2017,487129
albacete,hombres,2017,194743
vizcaya,mujeres,2017,594013
burgos,hombres,2017,178919
burgos,mujeres,2017,179252
zaragoza,hombres,2017,466357
barcelona,hombres,2017,2718621
caceres,hombres,2017,198494
caceres,mujeres,2017,201542
islas baleares,hombres,2017,554925
almeria,mujeres,2017,346996
zamora,mujeres,2017,89596
cadiz,mujeres,2017,627244
cantabria,hombres,2017,281808
zamora,hombres,2017,87808
cantabria,mujeres,2017,298487
cuenca,hombres,2017,43034
castellon,hombres,2017,285467
castellon,mujeres,2017,290003
islas baleares,mujeres,2017,561074
cadiz,hombres,2017,612191
guadalajara,hombres,2017,128341
badajoz,hombres,2017,336566
huelva,hombres,2017,257613
melilla,mujeres,2017,42491
albacete,mujeres,2017,195289
madrid,hombres,2017,3115522
madrid,mujeres,2017,3391662
malaga,hombres,2017,800551
soria,hombres,2017,44986
alava,hombres,2017,161354
malaga,mujeres,2017,830064
murcia,hombres,2017,736238
murcia,mujeres,2017,734035
sevilla,mujeres,2017,990710
asturias,hombres,2017,493911
navarra,hombres,2017,318671
navarra,mujeres,2017,324563
orense,hombres,2017,149689
sevilla,hombres,2017,948817
alava,mujeres,2017,165220
orense,mujeres,2017,161991
palencia,hombres,2017,80943
palencia,mujeres,2017,82447
alicante,hombres,2017,904711
soria,mujeres,2017,43917
guadalajara,mujeres,2017,124969
lugo,mujeres,2017,171859
leon,hombres,2017,228059
teruel,mujeres,2017,66878
avila,mujeres,2017,80026
huelva,mujeres,2017,261317
huesca,hombres,2017,110854
huesca,mujeres,2017,108848
teruel,hombres,2017,68684
jaen,hombres,2017,318430
jaen,mujeres,2017,325054
lugo,hombres,2017,161775
tarragona,mujeres,2017,396788
barcelona,mujeres,2017,2857416
melilla,hombres,2017,43629
avila,hombres,2017,80674
leon,mujeres,2017,240257
lerida,hombres,2017,219059
alicante,mujeres,2017,920621
lerida,mujeres,2017,213325
tarragona,hombres,2017,394905
asturias,mujeres,2017,541049
cuenca,mujeres,2018,41967
melilla,hombres,2018,43765
albacete,hombres,2018,194158
cuenca,hombres,2018,43177
melilla,mujeres,2018,42619
segovia,mujeres,2018,76363
zaragoza,hombres,2018,466839
sevilla,hombres,2018,948699
sevilla,mujeres,2018,991188
soria,hombres,2018,44800
soria,mujeres,2018,43800
albacete,mujeres,2018,194628
tarragona,hombres,2018,396661
segovia,hombres,2018,76979
tarragona,mujeres,2018,399241
teruel,hombres,2018,68060
teruel,mujeres,2018,66512
toledo,hombres,2018,345532
toledo,mujeres,2018,341859
valencia,hombres,2018,1248927
valencia,mujeres,2018,1299059
valladolid,hombres,2018,253356
valladolid,mujeres,2018,266495
santa cruz de tenerife,mujeres,2018,517033
zamora,hombres,2018,86319
zamora,mujeres,2018,88230
zaragoza,mujeres,2018,487972
santa cruz de tenerife,hombres,2018,501477
lerida,mujeres,2018,213357
burgos,mujeres,2018,178733
huesca,hombres,2018,110599
murcia,mujeres,2018,738366
barcelona,hombres,2018,2733466
cantabria,mujeres,2018,298665
islas baleares,mujeres,2018,567105
navarra,hombres,2018,320469
huelva,mujeres,2018,262219
castellon,hombres,2018,286359
navarra,mujeres,2018,327085
islas baleares,hombres,2018,561803
huelva,hombres,2018,257713
orense,hombres,2018,148426
guadalajara,mujeres,2018,125454
badajoz,mujeres,2018,341740
orense,mujeres,2018,160867
ciudad real,hombres,2018,246656
palencia,hombres,2018,80323
badajoz,hombres,2018,334636
guadalajara,hombres,2018,128854
murcia,hombres,2018,740143
huesca,mujeres,2018,108746
cantabria,hombres,2018,281564
malaga,mujeres,2018,836263
lerida,hombres,2018,219509
caceres,hombres,2018,196619
caceres,mujeres,2018,199868
lugo,hombres,2018,160647
leon,mujeres,2018,238100
cuenca,hombres,2018,98999
lugo,mujeres,2018,170680
cadiz,hombres,2018,611357
burgos,hombres,2018,178337
palencia,mujeres,2018,81712
almeria,mujeres,2018,348021
madrid,hombres,2018,3147872
vizcaya,mujeres,2018,594749
jaen,mujeres,2018,322550
madrid,mujeres,2018,3430207
cadiz,mujeres,2018,627357
jaen,hombres,2018,315549
malaga,hombres,2018,804858
vizcaya,hombres,2018,554879
barcelona,mujeres,2018,2875884
leon,hombres,2018,225646
granada,mujeres,2018,462757
castellon,mujeres,2018,290539
pontevedra,mujeres,2018,486873
cordoba,mujeres,2018,400155
avila,hombres,2018,79538
alava,hombres,2018,162175
gerona,hombres,2018,380690
asturias,mujeres,2018,537506
almeria,hombres,2018,361319
rioja,hombres,2018,155758
coruña,hombres,2018,536637
guipuzcoa,mujeres,2018,368896
asturias,hombres,2018,490738
rioja,mujeres,2018,159917
guipuzcoa,hombres,2018,351696
coruña,mujeres,2018,582714
salamanca,hombres,2018,161065
alava,mujeres,2018,166693
cuenca,mujeres,2018,98223
salamanca,mujeres,2018,170408
pontevedra,hombres,2018,454899
gerona,mujeres,2018,381257
alicante,mujeres,2018,927722
cordoba,hombres,2018,385085
alicante,hombres,2018,911097
avila,mujeres,2018,78960
las palmas,mujeres,2018,556620
ciudad real,mujeres,2018,252444
granada,hombres,2018,449318
las palmas,hombres,2018,552555
guipuzcoa,mujeres,2019,370213
zamora,mujeres,2019,87198
cadiz,mujeres,2019,628364
leon,hombres,2019,223744
coruña,mujeres,2019,583126
tarragona,mujeres,2019,403406
valladolid,mujeres,2019,266330
guipuzcoa,hombres,2019,353363
huelva,mujeres,2019,263457
ciudad real,hombres,2019,244877
toledo,hombres,2019,349090
albacete,mujeres,2019,194256
leon,mujeres,2019,236257
cuenca,mujeres,2019,97787
lerida,hombres,2019,220878
guadalajara,hombres,2019,130534
cuenca,hombres,2019,98542
caceres,mujeres,2019,198763
cadiz,hombres,2019,611791
valencia,hombres,2019,1256350
granada,hombres,2019,450555
cordoba,mujeres,2019,399189
toledo,mujeres,2019,345754
santa cruz de tenerife,hombres,2019,508197
teruel,mujeres,2019,66210
gerona,mujeres,2019,385746
castellon,hombres,2019,288077
zamora,hombres,2019,85341
huelva,hombres,2019,258413
valladolid,hombres,2019,253216
huesca,hombres,2019,111228
almeria,hombres,2019,365701
cantabria,mujeres,2019,299277
huesca,mujeres,2019,109233
castellon,mujeres,2019,291885
granada,mujeres,2019,464123
lerida,mujeres,2019,214052
jaen,hombres,2019,313356
gerona,hombres,2019,385298
teruel,hombres,2019,67927
cantabria,hombres,2019,281801
almeria,mujeres,2019,351119
cordoba,hombres,2019,383790
coruña,hombres,2019,536470
guadalajara,mujeres,2019,127228
jaen,mujeres,2019,320208
ciudad real,mujeres,2019,250884
valencia,mujeres,2019,1308774
cuenca,hombres,2019,42912
las palmas,mujeres,2019,562632
murcia,mujeres,2019,746283
barcelona,hombres,2019,2762689
sevilla,mujeres,2019,993177
navarra,hombres,2019,323631
islas baleares,mujeres,2019,576703
asturias,mujeres,2019,534663
navarra,mujeres,2019,330583
pontevedra,mujeres,2019,487379
islas baleares,hombres,2019,572757
orense,hombres,2019,147522
avila,hombres,2019,79071
sevilla,hombres,2019,949212
cuenca,mujeres,2019,41865
alava,hombres,2019,163499
orense,mujeres,2019,160129
badajoz,mujeres,2019,340447
segovia,hombres,2019,76813
palencia,hombres,2019,79808
badajoz,hombres,2019,333112
palencia,mujeres,2019,81172
pontevedra,hombres,2019,455286
avila,mujeres,2019,78569
segovia,mujeres,2019,76316
albacete,hombres,2019,193911
alicante,hombres,2019,920915
las palmas,hombres,2019,557774
rioja,hombres,2019,156179
murcia,hombres,2019,747615
melilla,hombres,2019,43894
santa cruz de tenerife,mujeres,2019,524786
burgos,mujeres,2019,178728
alava,mujeres,2019,168050
madrid,hombres,2019,3187312
soria,mujeres,2019,43822
alicante,mujeres,2019,937768
burgos,hombres,2019,178230
salamanca,hombres,2019,160364
melilla,mujeres,2019,42593
zaragoza,mujeres,2019,493154
madrid,mujeres,2019,3476082
vizcaya,mujeres,2019,596439
lugo,mujeres,2019,169901
asturias,hombres,2019,488137
malaga,hombres,2019,814349
vizcaya,hombres,2019,556212
lugo,hombres,2019,159686
caceres,hombres,2019,195388
soria,hombres,2019,44814
zaragoza,hombres,2019,471539
malaga,mujeres,2019,847436
barcelona,mujeres,2019,2901890
tarragona,hombres,2019,401258
rioja,mujeres,2019,160619
salamanca,mujeres,2019,169755
cordoba,mujeres,2020,398565
avila,mujeres,2020,78555
alava,mujeres,2020,169416
asturias,hombres,2020,486066
avila,hombres,2020,79109
valladolid,hombres,2020,253540
coruña,hombres,2020,537781
albacete,hombres,2020,194081
coruña,mujeres,2020,584034
asturias,mujeres,2020,532718
melilla,mujeres,2020,42914
cuenca,hombres,2020,98430
caceres,mujeres,2020,197766
cuenca,mujeres,2020,41660
cordoba,hombres,2020,382886
cadiz,hombres,2020,613561
caceres,hombres,2020,194084
burgos,mujeres,2020,179072
cadiz,mujeres,2020,630488
burgos,hombres,2020,178578
zaragoza,mujeres,2020,496926
zamora,mujeres,2020,86219
vizcaya,mujeres,2020,599645
cantabria,hombres,2020,282559
vizcaya,hombres,2020,559798
almeria,mujeres,2020,356387
barcelona,mujeres,2020,2939086
cantabria,mujeres,2020,300346
cuenca,hombres,2020,42542
zamora,hombres,2020,84369
castellon,hombres,2020,290799
barcelona,hombres,2020,2804316
islas baleares,mujeres,2020,587245
castellon,mujeres,2020,294791
islas baleares,hombres,2020,584298
zaragoza,hombres,2020,475602
ciudad real,hombres,2020,244842
badajoz,mujeres,2020,339933
valladolid,mujeres,2020,267109
ciudad real,mujeres,2020,250203
badajoz,hombres,2020,332204
alava,hombres,2020,164524
melilla,hombres,2020,44162
santa cruz de tenerife,hombres,2020,513491
toledo,mujeres,2020,350224
alicante,mujeres,2020,948032
leon,mujeres,2020,234535
sevilla,hombres,2020,952695
leon,hombres,2020,221904
jaen,mujeres,2020,319017
palencia,hombres,2020,79457
albacete,mujeres,2020,194189
teruel,hombres,2020,67975
jaen,hombres,2020,312364
palencia,mujeres,2020,80864
soria,hombres,2020,44927
huesca,hombres,2020,112479
las palmas,hombres,2020,562694
segovia,mujeres,2020,76445
las palmas,mujeres,2020,568371
teruel,mujeres,2020,66201
tarragona,mujeres,2020,408630
huelva,mujeres,2020,264782
orense,mujeres,2020,159572
lerida,mujeres,2020,215194
malaga,mujeres,2020,860470
murcia,hombres,2020,756699
malaga,hombres,2020,825450
madrid,mujeres,2020,3536095
murcia,mujeres,2020,754552
navarra,hombres,2020,327226
soria,mujeres,2020,43957
madrid,hombres,2020,3243793
sevilla,mujeres,2020,997524
valencia,mujeres,2020,1322409
lugo,mujeres,2020,169104
lugo,hombres,2020,158842
navarra,mujeres,2020,333971
tarragona,hombres,2020,408142
orense,hombres,2020,147078
lerida,hombres,2020,223323
pontevedra,hombres,2020,456452
huesca,mujeres,2020,110208
granada,mujeres,2020,466573
santa cruz de tenerife,mujeres,2020,531396
gerona,mujeres,2020,390605
almeria,hombres,2020,371558
huelva,hombres,2020,259496
rioja,mujeres,2020,162079
granada,hombres,2020,452595
salamanca,hombres,2020,159929
rioja,hombres,2020,157835
valencia,hombres,2020,1269466
guipuzcoa,mujeres,2020,371991
pontevedra,mujeres,2020,488956
guipuzcoa,hombres,2020,355130
gerona,hombres,2020,391183
guadalajara,hombres,2020,132839
segovia,hombres,2020,77033
salamanca,mujeres,2020,169316
guadalajara,mujeres,2020,129156
toledo,hombres,2020,353548
alicante,hombres,2020,931856
cuenca,mujeres,2020,97709
cuenca,hombres,2021,42208
alava,mujeres,2021,169374
santa cruz de tenerife,mujeres,2021,531506
murcia,hombres,2021,760362
navarra,mujeres,2021,334072
sevilla,mujeres,2021,996769
santa cruz de tenerife,hombres,2021,512899
murcia,mujeres,2021,758124
barcelona,mujeres,2021,2923480
barcelona,hombres,2021,2791250
asturias,hombres,2021,482665
asturias,mujeres,2021,529127
salamanca,mujeres,2021,168464
navarra,hombres,2021,327465
salamanca,hombres,2021,158874
pontevedra,hombres,2021,455910
islas baleares,hombres,2021,584853
orense,hombres,2021,146495
avila,mujeres,2021,78859
las palmas,mujeres,2021,567258
melilla,hombres,2021,43603
segovia,mujeres,2021,76592
segovia,hombres,2021,77071
badajoz,hombres,2021,331025
las palmas,hombres,2021,561281
pontevedra,mujeres,2021,488365
avila,hombres,2021,79562
islas baleares,mujeres,2021,588155
palencia,mujeres,2021,80282
badajoz,mujeres,2021,338918
alicante,hombres,2021,932018
rioja,hombres,2021,157823
palencia,hombres,2021,78841
sevilla,hombres,2021,951083
melilla,mujeres,2021,42658
rioja,mujeres,2021,161973
cuenca,mujeres,2021,41309
orense,mujeres,2021,158728
alava,hombres,2021,164252
soria,hombres,2021,44920
valencia,mujeres,2021,1321351
malaga,mujeres,2021,865675
zamora,hombres,2021,83551
castellon,hombres,2021,291415
teruel,mujeres,2021,66258
castellon,mujeres,2021,295649
huelva,mujeres,2021,265254
huelva,hombres,2021,260581
ciudad real,hombres,2021,243763
guadalajara,mujeres,2021,130964
toledo,hombres,2021,356418
valladolid,mujeres,2021,266518
ciudad real,mujeres,2021,248828
guadalajara,hombres,2021,134624
granada,mujeres,2021,467655
albacete,mujeres,2021,193259
cordoba,hombres,2021,380473
toledo,mujeres,2021,352985
cordoba,mujeres,2021,396316
granada,hombres,2021,453683
gerona,mujeres,2021,392827
valladolid,hombres,2021,252843
coruña,hombres,2021,537004
gerona,hombres,2021,393769
valencia,hombres,2021,1267961
coruña,mujeres,2021,583130
guipuzcoa,mujeres,2021,371316
cuenca,hombres,2021,98118
guipuzcoa,hombres,2021,354717
cuenca,mujeres,2021,97398
almeria,hombres,2021,373136
vizcaya,hombres,2021,557416
huesca,hombres,2021,113607
huesca,mujeres,2021,110657
vizcaya,mujeres,2021,596918
malaga,hombres,2021,829976
madrid,mujeres,2021,3521551
alicante,mujeres,2021,949744
zaragoza,mujeres,2021,494098
burgos,hombres,2021,177920
soria,mujeres,2021,43827
burgos,mujeres,2021,178135
madrid,hombres,2021,3229700
caceres,hombres,2021,192951
lugo,mujeres,2021,168121
tarragona,hombres,2021,410656
lugo,hombres,2021,157892
almeria,mujeres,2021,358656
zaragoza,hombres,2021,473354
lerida,mujeres,2021,215571
cadiz,hombres,2021,614084
lerida,hombres,2021,224156
tarragona,mujeres,2021,411653
cadiz,mujeres,2021,631876
leon,mujeres,2021,232174
leon,hombres,2021,219532
zamora,mujeres,2021,85174
jaen,mujeres,2021,316867
cantabria,hombres,2021,283378
teruel,hombres,2021,68287
jaen,hombres,2021,310323
cantabria,mujeres,2021,301129
caceres,mujeres,2021,196607
albacete,hombres,2021,193205
